"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2018","447.85","485.20","491.35","446.10","310.88K","-7.66%"
"Mar 26, 2018","485.00","522.41","525.37","466.90","224.43K","-7.16%"
"Mar 25, 2018","522.41","519.05","535.65","513.06","81.71K","0.70%"
"Mar 24, 2018","518.80","543.86","545.24","518.00","108.76K","-4.51%"
"Mar 23, 2018","543.28","539.20","543.66","505.72","193.13K","0.76%"
"Mar 22, 2018","539.19","559.22","577.27","515.36","181.65K","-3.72%"
"Mar 21, 2018","560.04","556.38","590.00","544.59","185.47K","0.66%"
"Mar 20, 2018","556.38","555.00","566.28","516.09","226.63K","0.25%"
"Mar 19, 2018","554.99","536.73","557.99","514.95","346.87K","3.40%"
"Mar 18, 2018","536.73","548.82","560.99","453.65","661.85K","-2.23%"
"Mar 17, 2018","549.00","598.77","609.36","543.30","141.33K","-8.43%"
"Mar 16, 2018","599.56","609.91","626.04","584.50","133.52K","-1.70%"
"Mar 15, 2018","609.90","610.91","619.82","568.29","223.87K","-0.17%"
"Mar 14, 2018","610.92","689.10","702.41","585.34","205.41K","-11.27%"
"Mar 13, 2018","688.50","696.51","713.99","676.80","132.60K","-1.15%"
"Mar 12, 2018","696.52","719.85","739.84","676.34","123.67K","-3.24%"
"Mar 11, 2018","719.86","679.68","734.20","660.15","139.84K","5.91%"
"Mar 10, 2018","679.68","724.62","745.00","676.27","117.94K","-6.20%"
"Mar 09, 2018","724.61","697.30","727.81","639.04","229.75K","3.92%"
"Mar 08, 2018","697.31","749.20","770.00","688.01","146.74K","-6.93%"
"Mar 07, 2018","749.21","816.48","824.23","725.01","174.36K","-8.22%"
"Mar 06, 2018","816.31","848.14","850.00","803.59","89.00K","-3.71%"
"Mar 05, 2018","847.76","866.06","870.00","847.76","55.13K","-2.11%"
"Mar 04, 2018","866.07","855.29","868.26","835.58","45.12K","1.26%"
"Mar 03, 2018","855.30","854.79","868.70","852.63","40.49K","0.09%"
"Mar 02, 2018","854.50","869.23","879.37","849.73","58.05K","-1.70%"
"Mar 01, 2018","869.24","851.25","881.30","845.61","90.09K","2.11%"
"Feb 28, 2018","851.26","871.20","888.46","850.75","93.98K","-2.31%"
"Feb 27, 2018","871.36","868.60","895.00","862.08","93.51K","0.41%"
"Feb 26, 2018","867.76","838.71","881.60","831.90","136.60K","3.49%"
