"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2017","0.24780","0.24490","0.25320","0.24000","22.19M","1.18%"
"Nov 26, 2017","0.24490","0.25330","0.25330","0.24100","16.31M","-3.32%"
"Nov 25, 2017","0.25330","0.24500","0.25620","0.24200","13.18M","3.39%"
"Nov 24, 2017","0.24500","0.24090","0.24760","0.23480","14.30M","1.70%"
"Nov 23, 2017","0.24090","0.24000","0.25450","0.23510","23.53M","0.38%"
"Nov 22, 2017","0.24000","0.23290","0.24240","0.23000","17.00M","3.05%"
"Nov 21, 2017","0.23290","0.24000","0.24560","0.22870","19.92M","-2.96%"
"Nov 20, 2017","0.24000","0.23250","0.24700","0.23170","15.37M","3.23%"
"Nov 19, 2017","0.23250","0.22700","0.23750","0.22000","18.76M","2.42%"
"Nov 18, 2017","0.22700","0.22450","0.22950","0.21860","11.18M","1.11%"
"Nov 17, 2017","0.22450","0.22730","0.24080","0.21700","25.33M","-1.23%"
"Nov 16, 2017","0.22730","0.20870","0.28320","0.20550","97.46M","8.91%"
"Nov 15, 2017","0.20870","0.20410","0.21000","0.20300","10.81M","2.25%"
"Nov 14, 2017","0.20410","0.20000","0.21000","0.19650","10.33M","2.05%"
"Nov 13, 2017","0.20000","0.19320","0.20000","0.19000","19.33M","3.52%"
"Nov 12, 2017","0.19320","0.20920","0.20920","0.17500","48.68M","-7.65%"
"Nov 11, 2017","0.20920","0.20300","0.21470","0.20000","16.52M","3.05%"
"Nov 10, 2017","0.20300","0.21240","0.21850","0.19800","19.88M","-4.43%"
"Nov 09, 2017","0.21240","0.21610","0.22300","0.21210","14.21M","-1.71%"
"Nov 08, 2017","0.21610","0.20570","0.22500","0.20300","17.10M","5.06%"
"Nov 07, 2017","0.20570","0.20110","0.20610","0.19920","8.28M","2.29%"
"Nov 06, 2017","0.20110","0.19950","0.20690","0.19810","5.94M","0.80%"
"Nov 05, 2017","0.19950","0.20180","0.20400","0.19750","5.07M","-1.14%"
"Nov 04, 2017","0.20180","0.20500","0.20560","0.19910","6.33M","-1.56%"
"Nov 03, 2017","0.20500","0.20000","0.22950","0.19560","24.89M","2.50%"
"Nov 02, 2017","0.20000","0.19110","0.20700","0.17500","17.22M","4.66%"
"Nov 01, 2017","0.19110","0.19800","0.20100","0.18940","9.15M","-3.48%"
"Oct 31, 2017","0.19800","0.20200","0.20400","0.19710","5.44M","-1.98%"
"Oct 30, 2017","0.20200","0.20120","0.20420","0.20000","3.99M","0.40%"
"Oct 29, 2017","0.20120","0.19790","0.20450","0.19600","5.47M","1.67%"
"Oct 28, 2017","0.19790","0.19950","0.20100","0.19710","4.03M","-0.80%"
"Oct 27, 2017","0.19950","0.20200","0.20320","0.19750","3.44M","-1.24%"
"Oct 26, 2017","0.20200","0.20140","0.20510","0.19950","6.18M","0.30%"
"Oct 25, 2017","0.20140","0.20320","0.20560","0.19600","6.62M","-0.89%"
"Oct 24, 2017","0.20320","0.19170","0.21680","0.18300","20.37M","6.00%"
"Oct 23, 2017","0.19170","0.20030","0.20170","0.18500","11.65M","-4.29%"
"Oct 22, 2017","0.20030","0.20990","0.21200","0.19500","11.40M","-4.57%"
"Oct 21, 2017","0.20990","0.20880","0.21060","0.19670","13.91M","0.53%"
"Oct 20, 2017","0.20880","0.21430","0.22400","0.20520","16.28M","-2.57%"
"Oct 19, 2017","0.21430","0.21670","0.23290","0.20600","18.69M","-1.11%"
"Oct 18, 2017","0.21670","0.22980","0.23490","0.20250","30.98M","-5.70%"
"Oct 17, 2017","0.22980","0.25780","0.26650","0.21880","35.85M","-10.86%"
"Oct 16, 2017","0.25780","0.26600","0.30000","0.25230","49.71M","-3.08%"
"Oct 15, 2017","0.26600","0.25560","0.27000","0.24900","13.94M","4.07%"
"Oct 14, 2017","0.25560","0.26030","0.26880","0.25440","15.54M","-1.81%"
"Oct 13, 2017","0.26030","0.24550","0.27000","0.23250","30.59M","6.03%"
"Oct 12, 2017","0.24550","0.26230","0.26500","0.24550","20.98M","-6.40%"
"Oct 11, 2017","0.26230","0.25830","0.26580","0.25600","6.13M","1.55%"
"Oct 10, 2017","0.25830","0.25050","0.26690","0.24050","13.65M","3.11%"
"Oct 09, 2017","0.25050","0.28100","0.28100","0.23300","33.49M","-10.85%"
"Oct 08, 2017","0.28100","0.24050","0.28130","0.23890","23.30M","16.84%"
"Oct 07, 2017","0.24050","0.23310","0.24170","0.23250","6.69M","3.17%"
"Oct 06, 2017","0.23310","0.23710","0.24460","0.23200","12.72M","-1.69%"
"Oct 05, 2017","0.23710","0.21480","0.24450","0.21330","23.41M","10.38%"
"Oct 04, 2017","0.21480","0.20300","0.21730","0.20110","10.07M","5.81%"
"Oct 03, 2017","0.20300","0.20330","0.20620","0.19750","6.05M","-0.15%"
"Oct 02, 2017","0.20330","0.20890","0.20990","0.20000","5.52M","-2.68%"
"Oct 01, 2017","0.20890","0.19900","0.20890","0.19640","3.97M","4.97%"
"Sep 30, 2017","0.19900","0.19700","0.20650","0.19500","6.45M","1.02%"
"Sep 29, 2017","0.19700","0.20220","0.20220","0.18790","11.89M","-2.57%"
